"Topadvert Money", "Партнёрские Отчисления"
"Get Handler Key", "GET Ключ Системы"
"Get Handler Value", "GET Значение Системы"
"Get Partner Key", "GET Ключ Источника"
"Once per Minute", "Раз в Минуту"
"Once per Hour", "Раз в Час"
"Once per Day", "Раз в День"
"Once per Week", "Раз в Неделю"
"Once per Month", "Раз в Месяц"
"relative by magento root dir", "относительно корневой директории magento"
"1 Day", "1 День"
"1 Week", "1 Неделя"
"1 Month", "1 Месяц"
"3 Month", "3 Месяца"
"6 Month", "6 Месяцев"
"1 Year", "1 Год"
"Name: %s", "Название: %s"
"Qty: %s", "Кол-во: %s"
"Update After Place Order", "Обновлять После Размещения Заказа"
"Price List", "Прайс Лист"